kappa_p,alpha_p,excess,f(p),Q(f(p)),identity_p
w**w**19,w**3 + 1,1,9,[9],$\left[\omega^{\omega^{19}}\right]^{73}=\omega^{3}+1$
w**w**20,w**w**4 + 1,1,39,[13],$\left[\omega^{\omega^{20}}\right]^{79}=\omega^{\omega^{4}}+1$
w**w**21,w**w**11 + 1,1,82,[41],$\left[\omega^{\omega^{21}}\right]^{83}=\omega^{\omega^{11}}+1$
w**w**22,w**w**3 + 1,1,11,[11],$\left[\omega^{\omega^{22}}\right]^{89}=\omega^{\omega^{3}}+1$
w**w**23,w + 256,0,48,"[3, 16]",$\left[\omega^{\omega^{23}}\right]^{97}=\omega+256$
w**w**24,w**(w*5) + 1,1,100,[25],$\left[\omega^{\omega^{24}}\right]^{101}=\omega^{\omega\cdot5}+1$
w**w**25,w**w**5 + w,0,51,"[17, 3]",$\left[\omega^{\omega^{25}}\right]^{103}=\omega^{\omega^{5}}+\omega$
w**w**26,w**w**14 + 1,1,106,[53],$\left[\omega^{\omega^{26}}\right]^{107}=\omega^{\omega^{14}}+1$
w**w**27,w**3 + 4,0,36,"[9, 4]",$\left[\omega^{\omega^{27}}\right]^{109}=\omega^{3}+4$
w**w**28,w**w**2 + 4,0,28,"[7, 4]",$\left[\omega^{\omega^{28}}\right]^{113}=\omega^{\omega^{2}}+4$
w**w**29,w**w**2 + 1,1,7,[7],$\left[\omega^{\omega^{29}}\right]^{127}=\omega^{\omega^{2}}+1$
w**w**30,w**w**4 + w**w,0,130,"[13, 5]",$\left[\omega^{\omega^{30}}\right]^{131}=\omega^{\omega^{4}}+\omega^{\omega}$
w**w**31,w**w**5 + 1,1,68,[17],$\left[\omega^{\omega^{31}}\right]^{137}=\omega^{\omega^{5}}+1$
w**w**32,w**w**7 + w,0,138,"[23, 3]",$\left[\omega^{\omega^{32}}\right]^{139}=\omega^{\omega^{7}}+\omega$
w**w**33,w**w**10 + 1,1,148,[37],$\left[\omega^{\omega^{33}}\right]^{149}=\omega^{\omega^{10}}+1$
w**w**34,w**w + w,0,15,"[5, 3]",$\left[\omega^{\omega^{34}}\right]^{151}=\omega^{\omega}+\omega$
w**w**35,w**w**4 + 1,1,52,[13],$\left[\omega^{\omega^{35}}\right]^{157}=\omega^{\omega^{4}}+1$
w**w**36,w**27 + 4,4,162,[81],$\left[\omega^{\omega^{36}}\right]^{163}=\omega^{27}+4$
w**w**37,w**w**21 + 1,1,83,[83],$\left[\omega^{\omega^{37}}\right]^{167}=\omega^{\omega^{21}}+1$
w**w**38,w**w**12 + 4,0,172,"[43, 4]",$\left[\omega^{\omega^{38}}\right]^{173}=\omega^{\omega^{12}}+4$
w**w**39,w**w**22 + 1,1,178,[89],$\left[\omega^{\omega^{39}}\right]^{179}=\omega^{\omega^{22}}+1$
w**w**40,w**w + w**3,0,180,"[5, 9]",$\left[\omega^{\omega^{40}}\right]^{181}=\omega^{\omega}+\omega^{3}$
w**w**41,w**w**6 + w**w,0,95,"[19, 5]",$\left[\omega^{\omega^{41}}\right]^{191}=\omega^{\omega^{6}}+\omega^{\omega}$
w**w**42,w + 65536,0,96,"[3, 32]",$\left[\omega^{\omega^{42}}\right]^{193}=\omega+65536$
w**w**43,w**(w**2*7) + 4,0,196,"[49, 4]",$\left[\omega^{\omega^{43}}\right]^{197}=\omega^{\omega^{2}\cdot7}+4$
w**w**44,w**w**3 + w**3,0,99,"[11, 9]",$\left[\omega^{\omega^{44}}\right]^{199}=\omega^{\omega^{3}}+\omega^{3}$
w**w**45,w**w**2 + w**w,0,210,"[7, 5]",$\left[\omega^{\omega^{45}}\right]^{211}=\omega^{\omega^{2}}+\omega^{\omega}$
w**w**46,w**w**10 + 1,1,37,[37],$\left[\omega^{\omega^{46}}\right]^{223}=\omega^{\omega^{10}}+1$
w**w**47,w**w**28 + 1,1,226,[113],$\left[\omega^{\omega^{47}}\right]^{227}=\omega^{\omega^{28}}+1$
w**w**48,w**w**6 + 1,1,76,[19],$\left[\omega^{\omega^{48}}\right]^{229}=\omega^{\omega^{6}}+1$
w**w**49,w**w**8 + 1,1,29,[29],$\left[\omega^{\omega^{49}}\right]^{233}=\omega^{\omega^{8}}+1$
w**w**50,w**w**5 + w**w**2,0,119,"[17, 7]",$\left[\omega^{\omega^{50}}\right]^{239}=\omega^{\omega^{5}}+\omega^{\omega^{2}}$
w**w**51,w + 16,0,24,"[3, 8]",$\left[\omega^{\omega^{51}}\right]^{241}=\omega+16$
w**w**52,w**(w*5) + 1,1,50,[25],$\left[\omega^{\omega^{52}}\right]^{251}=\omega^{\omega\cdot5}+1$
w**w**53,256,0,16,[16],$\left[\omega^{\omega^{53}}\right]^{257}=256$
